index,mid,display_name,blacklist
55,/m/07pdhp0,Biting,x
56,/m/0939n_,Gargling,x
57,/m/01g90h,Stomach rumble,x
58,/m/03q5_w,"Burping, eructation",x
59,/m/02p3nc,Hiccup,x
60,/m/02_nn,Fart,
61,/m/0k65p,Hands,
62,/m/025_jnm,Finger snapping,x
63,/m/0l15bq,Clapping,
64,/m/01jg02,"Heart sounds, heartbeat",
65,/m/01jg1z,Heart murmur,x
66,/m/053hz1,Cheering,x
67,/m/028ght,Applause,
68,/m/07rkbfh,Chatter,x
69,/m/03qtwd,Crowd,x
70,/m/07qfr4h,"Hubbub, speech noise, speech babble",x
71,/t/dd00013,Children playing,x
72,/m/0jbk,Animal,x
73,/m/068hy,"Domestic animals, pets",x
74,/m/0bt9lr,Dog,
75,/m/05tny_,Bark,x
76,/m/07r_k2n,Yip,x
77,/m/07qf0zm,Howl,x
78,/m/07rc7d9,Bow-wow,x
79,/m/0ghcn6,Growling,x
80,/t/dd00136,Whimper (dog),x
81,/m/01yrx,Cat,
82,/m/02yds9,Purr,x
83,/m/07qrkrw,Meow,x
84,/m/07rjwbb,Hiss,x
85,/m/07r81j2,Caterwaul,x
86,/m/0ch8v,"Livestock, farm animals, working animals",x
87,/m/03k3r,Horse,
88,/m/07rv9rh,Clip-clop,x
89,/m/07q5rw0,"Neigh, whinny",x
90,/m/01xq0k1,"Cattle, bovinae",x
91,/m/07rpkh9,Moo,x
92,/m/0239kh,Cowbell,x
93,/m/068zj,Pig,
94,/t/dd00018,Oink,x
95,/m/03fwl,Goat,
96,/m/07q0h5t,Bleat,x
97,/m/07bgp,Sheep,
98,/m/025rv6n,Fowl,x
99,/m/09b5t,"Chicken, rooster",
100,/m/07st89h,Cluck,x
101,/m/07qn5dc,"Crowing, cock-a-doodle-doo",x
102,/m/01rd7k,Turkey,
103,/m/07svc2k,Gobble,x
104,/m/09ddx,Duck,
105,/m/07qdb04,Quack,x
106,/m/0dbvp,Goose,
107,/m/07qwf61,Honk,x
108,/m/01280g,Wild animals,x
109,/m/0cdnk,"Roaring cats (lions, tigers)",x
110,/m/04cvmfc,Roar,x
111,/m/015p6,Bird,
112,/m/020bb7,"Bird vocalization, bird call, bird song",x
113,/m/07pggtn,"Chirp, tweet",x
114,/m/07sx8x_,Squawk,x
115,/m/0h0rv,"Pigeon, dove",
116,/m/07r_25d,Coo,x
117,/m/04s8yn,Crow,
118,/m/07r5c2p,Caw,x
119,/m/09d5_,Owl,
120,/m/07r_80w,Hoot,x
121,/m/05_wcq,"Bird flight, flapping wings",x
122,/m/01z5f,"Canidae, dogs, wolves",x
123,/m/06hps,"Rodents, rats, mice",x
124,/m/04rmv,Mouse,
125,/m/07r4gkf,Patter,x
126,/m/03vt0,Insect,x
127,/m/09xqv,Cricket,
128,/m/09f96,Mosquito,
129,/m/0h2mp,"Fly, housefly",
130,/m/07pjwq1,Buzz,x
131,/m/01h3n,"Bee, wasp, etc.",
132,/m/09ld4,Frog,
133,/m/07st88b,Croak,x
134,/m/078jl,Snake,
135,/m/07qn4z3,Rattle,x
136,/m/032n05,Whale vocalization,x
137,/m/04rlf,Music,
138,/m/04szw,Musical instrument,
139,/m/0fx80y,Plucked string instrument,x
140,/m/0342h,Guitar,x
141,/m/02sgy,Electric guitar,x
142,/m/018vs,Bass guitar,x
143,/m/042v_gx,Acoustic guitar,x
144,/m/06w87,"Steel guitar, slide guitar",x
145,/m/01glhc,Tapping (guitar technique),x
146,/m/07s0s5r,Strum,x
147,/m/018j2,Banjo,x
148,/m/0jtg0,Sitar,x
149,/m/04rzd,Mandolin,x
150,/m/01bns_,Zither,x
151,/m/07xzm,Ukulele,x
152,/m/05148p4,Keyboard (musical),x
153,/m/05r5c,Piano,x
154,/m/01s0ps,Electric piano,x
155,/m/013y1f,Organ,x
156,/m/03xq_f,Electronic organ,x
157,/m/03gvt,Hammond organ,x
158,/m/0l14qv,Synthesizer,x
159,/m/01v1d8,Sampler,x
160,/m/03q5t,Harpsichord,x
161,/m/0l14md,Percussion,x
162,/m/02hnl,Drum kit,x
163,/m/0cfdd,Drum machine,x
164,/m/026t6,Drum,x
165,/m/06rvn,Snare drum,x
166,/m/03t3fj,Rimshot,x
167,/m/02k_mr,Drum roll,x
168,/m/0bm02,Bass drum,x
169,/m/011k_j,Timpani,x
170,/m/01p970,Tabla,x
171,/m/01qbl,Cymbal,x
172,/m/03qtq,Hi-hat,x
173,/m/01sm1g,Wood block,x
174,/m/07brj,Tambourine,x
175,/m/05r5wn,Rattle (instrument),x
176,/m/0xzly,Maraca,x
177,/m/0mbct,Gong,x
178,/m/016622,Tubular bells,x
179,/m/0j45pbj,Mallet percussion,x
180,/m/0dwsp,"Marimba, xylophone",x
181,/m/0dwtp,Glockenspiel,x
182,/m/0dwt5,Vibraphone,x
183,/m/0l156b,Steelpan,x
184,/m/05pd6,Orchestra,x
185,/m/01kcd,Brass instrument,x
186,/m/0319l,French horn,x
187,/m/07gql,Trumpet,x
188,/m/07c6l,Trombone,x
189,/m/0l14_3,Bowed string instrument,x
190,/m/02qmj0d,String section,x
191,/m/07y_7,"Violin, fiddle",x
192,/m/0d8_n,Pizzicato,x
193,/m/01xqw,Cello,x
194,/m/02fsn,Double bass,x
195,/m/085jw,"Wind instrument, woodwind instrument",x
196,/m/0l14j_,Flute,x
197,/m/06ncr,Saxophone,x
198,/m/01wy6,Clarinet,x
199,/m/03m5k,Harp,x
200,/m/0395lw,Bell,
201,/m/03w41f,Church bell,
202,/m/027m70_,Jingle bell,x
203,/m/0gy1t2s,Bicycle bell,x
204,/m/07n_g,Tuning fork,x
205,/m/0f8s22,Chime,x
206,/m/026fgl,Wind chime,x
207,/m/0150b9,Change ringing (campanology),x
208,/m/03qjg,Harmonica,x
209,/m/0mkg,Accordion,x
210,/m/0192l,Bagpipes,x
211,/m/02bxd,Didgeridoo,x
212,/m/0l14l2,Shofar,x
213,/m/07kc_,Theremin,x
214,/m/0l14t7,Singing bowl,x
215,/m/01hgjl,Scratching (performance technique),x
216,/m/064t9,Pop music,x
217,/m/0glt670,Hip hop music,x
218,/m/02cz_7,Beatboxing,x
219,/m/06by7,Rock music,x
220,/m/03lty,Heavy metal,x
221,/m/05r6t,Punk rock,x
222,/m/0dls3,Grunge,x
223,/m/0dl5d,Progressive rock,x
224,/m/07sbbz2,Rock and roll,x
225,/m/05w3f,Psychedelic rock,x
226,/m/06j6l,Rhythm and blues,x
227,/m/0gywn,Soul music,x
228,/m/06cqb,Reggae,x
229,/m/01lyv,Country,x
230,/m/015y_n,Swing music,x
231,/m/0gg8l,Bluegrass,x
232,/m/02x8m,Funk,x
233,/m/02w4v,Folk music,x
234,/m/06j64v,Middle Eastern music,x
235,/m/03_d0,Jazz,x
236,/m/026z9,Disco,x
237,/m/0ggq0m,Classical music,x
238,/m/05lls,Opera,x
239,/m/02lkt,Electronic music,x
240,/m/03mb9,House music,x
241,/m/07gxw,Techno,x
242,/m/07s72n,Dubstep,x
243,/m/0283d,Drum and bass,x
244,/m/0m0jc,Electronica,x
245,/m/08cyft,Electronic dance music,x
246,/m/0fd3y,Ambient music,x
247,/m/07lnk,Trance music,x
248,/m/0g293,Music of Latin America,x
249,/m/0ln16,Salsa music,x
250,/m/0326g,Flamenco,x
251,/m/0155w,Blues,x
252,/m/05fw6t,Music for children,x
253,/m/02v2lh,New-age music,x
254,/m/0y4f8,Vocal music,x
255,/m/0z9c,A capella,x
256,/m/0164x2,Music of Africa,x
257,/m/0145m,Afrobeat,x
258,/m/02mscn,Christian music,x
259,/m/016cjb,Gospel music,x
260,/m/028sqc,Music of Asia,x
261,/m/015vgc,Carnatic music,x
262,/m/0dq0md,Music of Bollywood,x
263,/m/06rqw,Ska,x
264,/m/02p0sh1,Traditional music,x
265,/m/05rwpb,Independent music,x
266,/m/074ft,Song,
267,/m/025td0t,Background music,x
268,/m/02cjck,Theme music,x
269,/m/03r5q_,Jingle (music),x
270,/m/0l14gg,Soundtrack music,x
271,/m/07pkxdp,Lullaby,x
272,/m/01z7dr,Video game music,x
273,/m/0140xf,Christmas music,x
274,/m/0ggx5q,Dance music,x
275,/m/04wptg,Wedding music,x
276,/t/dd00031,Happy music,x
277,/t/dd00032,Funny music,x
278,/t/dd00033,Sad music,x
279,/t/dd00034,Tender music,x
280,/t/dd00035,Exciting music,x
281,/t/dd00036,Angry music,x
282,/t/dd00037,Scary music,x
283,/m/03m9d0z,Wind,
284,/m/09t49,Rustling leaves,x
285,/t/dd00092,Wind noise (microphone),x
286,/m/0jb2l,Thunderstorm,x
287,/m/0ngt1,Thunder,
288,/m/0838f,Water,
289,/m/06mb1,Rain,
290,/m/07r10fb,Raindrop,x
291,/t/dd00038,Rain on surface,x
292,/m/0j6m2,Stream,x
293,/m/0j2kx,Waterfall,x
294,/m/05kq4,Ocean,x
295,/m/034srq,"Waves, surf",
296,/m/06wzb,Steam,x
297,/m/07swgks,Gurgling,x
298,/m/02_41,Fire,
299,/m/07pzfmf,Crackle,x
300,/m/07yv9,Vehicle,x
301,/m/019jd,"Boat, Water vehicle",
302,/m/0hsrw,"Sailboat, sailing ship",x
303,/m/056ks2,"Rowboat, canoe, kayak",x
304,/m/02rlv9,"Motorboat, speedboat",x
305,/m/06q74,Ship,x
306,/m/012f08,Motor vehicle (road),x
307,/m/0k4j,Car,
308,/m/0912c9,"Vehicle horn, car horn, honking",
309,/m/07qv_d5,Toot,x
310,/m/02mfyn,Car alarm,
311,/m/04gxbd,"Power windows, electric windows",x
312,/m/07rknqz,Skidding,x
313,/m/0h9mv,Tire squeal,x
314,/t/dd00134,Car passing by,x
315,/m/0ltv,"Race car, auto racing",x
316,/m/07r04,Truck,x
317,/m/0gvgw0,Air brake,x
318,/m/05x_td,"Air horn, truck horn",
319,/m/02rhddq,Reversing beeps,x
320,/m/03cl9h,"Ice cream truck, ice cream van",x
321,/m/01bjv,Bus,x
322,/m/03j1ly,Emergency vehicle,
323,/m/04qvtq,Police car (siren),x
324,/m/012n7d,Ambulance (siren),x
325,/m/012ndj,"Fire engine, fire truck (siren)",x
326,/m/04_sv,Motorcycle,
327,/m/0btp2,"Traffic noise, roadway noise",x
328,/m/06d_3,Rail transport,x
329,/m/07jdr,Train,
330,/m/04zmvq,Train whistle,
331,/m/0284vy3,Train horn,
332,/m/01g50p,"Railroad car, train wagon",x
333,/t/dd00048,Train wheels squealing,x
334,/m/0195fx,"Subway, metro, underground",
335,/m/0k5j,Aircraft,
336,/m/014yck,Aircraft engine,x
337,/m/04229,Jet engine,x
338,/m/02l6bg,"Propeller, airscrew",x
339,/m/09ct_,Helicopter,
340,/m/0cmf2,"Fixed-wing aircraft, airplane",x
341,/m/0199g,Bicycle,
342,/m/06_fw,Skateboard,
343,/m/02mk9,Engine,x
344,/t/dd00065,Light engine (high frequency),x
345,/m/08j51y,"Dental drill, dentist's drill",x
346,/m/01yg9g,Lawn mower,
347,/m/01j4z9,Chainsaw,
348,/t/dd00066,Medium engine (mid frequency),x
349,/t/dd00067,Heavy engine (low frequency),x
350,/m/01h82_,Engine knocking,x
351,/t/dd00130,Engine starting,x
352,/m/07pb8fc,Idling,x
353,/m/07q2z82,"Accelerating, revving, vroom",x
354,/m/02dgv,Door,
355,/m/03wwcy,Doorbell,
356,/m/07r67yg,Ding-dong,x
357,/m/02y_763,Sliding door,x
358,/m/07rjzl8,Slam,x
359,/m/07r4wb8,Knock,x
360,/m/07qcpgn,Tap,x
361,/m/07q6cd_,Squeak,x
362,/m/0642b4,Cupboard open or close,x
363,/m/0fqfqc,Drawer open or close,x
364,/m/04brg2,"Dishes, pots, and pans",x
365,/m/023pjk,"Cutlery, silverware",x
366,/m/07pn_8q,Chopping (food),
367,/m/0dxrf,Frying (food),
368,/m/0fx9l,Microwave oven,
369,/m/02pjr4,Blender,x
370,/m/02jz0l,"Water tap, faucet",x
371,/m/0130jx,Sink (filling or washing),x
372,/m/03dnzn,Bathtub (filling or washing),x
373,/m/03wvsk,Hair dryer,
374,/m/01jt3m,Toilet flush,
375,/m/012xff,Toothbrush,
376,/m/04fgwm,Electric toothbrush,x
377,/m/0d31p,Vacuum cleaner,
378,/m/01s0vc,Zipper (clothing),x
379,/m/03v3yw,Keys jangling,
380,/m/0242l,Coin (dropping),
381,/m/01lsmm,Scissors,
382,/m/02g901,"Electric shaver, electric razor",x
383,/m/05rj2,Shuffling cards,x
384,/m/0316dw,Typing,
385,/m/0c2wf,Typewriter,x
386,/m/01m2v,Computer keyboard,x
387,/m/081rb,Writing,
388,/m/07pp_mv,Alarm,
389,/m/07cx4,Telephone,
390,/m/07pp8cl,Telephone bell ringing,x
391,/m/01hnzm,Ringtone,x
392,/m/02c8p,"Telephone dialing, DTMF",x
393,/m/015jpf,Dial tone,x
394,/m/01z47d,Busy signal,x
395,/m/046dlr,Alarm clock,
396,/m/03kmc9,Siren,
397,/m/0dgbq,Civil defense siren,x
398,/m/030rvx,Buzzer,x
399,/m/01y3hg,"Smoke detector, smoke alarm",x
400,/m/0c3f7m,Fire alarm,
401,/m/04fq5q,Foghorn,x
402,/m/0l156k,Whistle,x
403,/m/06hck5,Steam whistle,x
404,/t/dd00077,Mechanisms,x
405,/m/02bm9n,"Ratchet, pawl",x
406,/m/01x3z,Clock,
407,/m/07qjznt,Tick,x
408,/m/07qjznl,Tick-tock,x
409,/m/0l7xg,Gears,
410,/m/05zc1,Pulleys,x
411,/m/0llzx,Sewing machine,x
412,/m/02x984l,Mechanical fan,x
413,/m/025wky1,Air conditioning,x
414,/m/024dl,Cash register,
415,/m/01m4t,Printer,
416,/m/0dv5r,Camera,
417,/m/07bjf,Single-lens reflex camera,x
418,/m/07k1x,Tools,x
419,/m/03l9g,Hammer,
420,/m/03p19w,Jackhammer,x
421,/m/01b82r,Sawing,x
422,/m/02p01q,Filing (rasp),x
423,/m/023vsd,Sanding,x
424,/m/0_ksk,Power tool,x
425,/m/01d380,Drill,
426,/m/014zdl,Explosion,
427,/m/032s66,"Gunshot, gunfire",
428,/m/04zjc,Machine gun,x
429,/m/02z32qm,Fusillade,x
430,/m/0_1c,Artillery fire,x
431,/m/073cg4,Cap gun,x
432,/m/0g6b5,Fireworks,
433,/g/122z_qxw,Firecracker,x
434,/m/07qsvvw,"Burst, pop",x
435,/m/07pxg6y,Eruption,x
436,/m/07qqyl4,Boom,x
437,/m/083vt,Wood,
438,/m/07pczhz,Chop,x
439,/m/07pl1bw,Splinter,x
440,/m/07qs1cx,Crack,x
441,/m/039jq,Glass,
442,/m/07q7njn,"Chink, clink",x
443,/m/07rn7sz,Shatter,x
444,/m/04k94,Liquid,x
445,/m/07rrlb6,"Splash, splatter",x
446,/m/07p6mqd,Slosh,x
447,/m/07qlwh6,Squish,x
448,/m/07r5v4s,Drip,x
449,/m/07prgkl,Pour,x
450,/m/07pqc89,"Trickle, dribble",x
451,/t/dd00088,Gush,x
452,/m/07p7b8y,Fill (with liquid),x
453,/m/07qlf79,Spray,
454,/m/07ptzwd,Pump (liquid),x
455,/m/07ptfmf,Stir,x
456,/m/0dv3j,Boiling,x
457,/m/0790c,Sonar,x
458,/m/0dl83,Arrow,
459,/m/07rqsjt,"Whoosh, swoosh, swish",x
460,/m/07qnq_y,"Thump, thud",x
461,/m/07rrh0c,Thunk,x
462,/m/0b_fwt,Electronic tuner,x
463,/m/02rr_,Effects unit,x
464,/m/07m2kt,Chorus effect,x
465,/m/018w8,Basketball bounce,x
466,/m/07pws3f,Bang,x
467,/m/07ryjzk,"Slap, smack",x
468,/m/07rdhzs,"Whack, thwack",x
469,/m/07pjjrj,"Smash, crash",x
470,/m/07pc8lb,Breaking,x
471,/m/07pqn27,Bouncing,x
472,/m/07rbp7_,Whip,x
473,/m/07pyf11,Flap,x
474,/m/07qb_dv,Scratch,x
475,/m/07qv4k0,Scrape,x
476,/m/07pdjhy,Rub,x
477,/m/07s8j8t,Roll,x
478,/m/07plct2,Crushing,x
479,/t/dd00112,"Crumpling, crinkling",x
480,/m/07qcx4z,Tearing,x
481,/m/02fs_r,"Beep, bleep",x
482,/m/07qwdck,Ping,x
483,/m/07phxs1,Ding,x
484,/m/07rv4dm,Clang,x
485,/m/07s02z0,Squeal,x
486,/m/07qh7jl,Creak,x
487,/m/07qwyj0,Rustle,x
488,/m/07s34ls,Whir,x
489,/m/07qmpdm,Clatter,x
490,/m/07p9k1k,Sizzle,x
491,/m/07qc9xj,Clicking,x
492,/m/07rwm0c,Clickety-clack,x
493,/m/07phhsh,Rumble,x
494,/m/07qyrcz,Plop,x
495,/m/07qfgpx,"Jingle, tinkle",x
496,/m/07rcgpl,Hum,x
497,/m/07p78v5,Zing,x
498,/t/dd00121,Boing,x
499,/m/07s12q4,Crunch,x
500,/m/028v0c,Silence,
501,/m/01v_m0,Sine wave,x
502,/m/0b9m1,Harmonic,x
503,/m/0hdsk,Chirp tone,x
504,/m/0c1dj,Sound effect,x
505,/m/07pt_g0,Pulse,x
506,/t/dd00125,"Inside, small room",x
507,/t/dd00126,"Inside, large room or hall",x
508,/t/dd00127,"Inside, public space",x
509,/t/dd00128,"Outside, urban or manmade",x
510,/t/dd00129,"Outside, rural or natural",x
511,/m/01b9nn,Reverberation,x
512,/m/01jnbd,Echo,x
513,/m/096m7z,Noise,
514,/m/06_y0by,Environmental noise,x
515,/m/07rgkc5,Static,
516,/m/06xkwv,Mains hum,x
517,/m/0g12c5,Distortion,x
518,/m/08p9q4,Sidetone,x
519,/m/07szfh9,Cacophony,x
520,/m/0chx_,White noise,x
521,/m/0cj0r,Pink noise,x
522,/m/07p_0gm,Throbbing,x
523,/m/01jwx6,Vibration,x
524,/m/07c52,Television,
525,/m/06bz3,Radio,
526,/m/07hvw1,Field recording,x
